user_id,dept,role,seniority
U000,Finance,Controller,4
U001,IT,Controller,4
U002,HR,Clerk,4
U003,Ops,Approver,1
U004,Ops,Clerk,2
U005,Legal,Clerk,3
U006,Finance,Clerk,3
U007,IT,Manager,1
U008,Sales,Analyst,3
U009,Finance,Clerk,1
U010,HR,Approver,4
U011,Legal,Analyst,4
U012,IT,Approver,5
U013,IT,Approver,4
U014,IT,Manager,2
U015,IT,Controller,5
U016,HR,Analyst,3
U017,Finance,Controller,2
U018,Legal,Controller,5
U019,Ops,Manager,2
U020,HR,Analyst,1
U021,Ops,Approver,3
U022,Sales,Clerk,4
U023,Legal,Approver,1
